"Drive","TotalSize","TotalUsed","TotalNLE","TotalToBeDeleted"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"E:\","343594237952","157139992576","0","0"
"F:\","85896192000","1508302848","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
"P:\","85896241152","23173152768","0","0"
